"id","pointString","name","irrigationArea","winterArea","summerArea","annualArea","source","type","winterDemand","summerDemand","autumnDemand","springDemand","annualDemand","annualVolume","program","benefitedFamilies","agriculturalZone","lastEditedDate","lastEditedUser","alias","returnRate","subcatchmentMELCAid"
26,"pointString","name",25,25,25,25,"source","type",0,0,0,0,0,0,"program",25,"agriculturalZone",2020-10-07,25,"alias",0,26
27,"pointString","name",26,26,26,26,"source","type",0,0,0,0,0,0,"program",26,"agriculturalZone",2020-10-08,26,"alias",0,27
28,"pointString","name",27,27,27,27,"source","type",0,0,0,0,0,0,"program",27,"agriculturalZone",2020-10-09,27,"alias",0,28
29,"pointString","name",28,28,28,28,"source","type",0,0,0,0,0,0,"program",28,"agriculturalZone",2020-10-10,28,"alias",0,29
30,"pointString","name",29,29,29,29,"source","type",0,0,0,0,0,0,"program",29,"agriculturalZone",2020-10-11,29,"alias",0,30
31,"pointString","name",30,30,30,30,"source","type",0,0,0,0,0,0,"program",30,"agriculturalZone",2020-10-12,30,"alias",0,31
32,"pointString","name",31,31,31,31,"source","type",0,0,0,0,0,0,"program",31,"agriculturalZone",2020-10-13,31,"alias",0,32
33,"pointString","name",32,32,32,32,"source","type",0,0,0,0,0,0,"program",32,"agriculturalZone",2020-10-14,32,"alias",0,33
34,"pointString","name",33,33,33,33,"source","type",0,0,0,0,0,0,"program",33,"agriculturalZone",2020-10-15,33,"alias",0,34
35,"pointString","name",34,34,34,34,"source","type",0,0,0,0,0,0,"program",34,"agriculturalZone",2020-10-16,34,"alias",0,35
36,"pointString","name",35,35,35,35,"source","type",0,0,0,0,0,0,"program",35,"agriculturalZone",2020-10-17,35,"alias",0,36
37,"pointString","name",36,36,36,36,"source","type",0,0,0,0,0,0,"program",36,"agriculturalZone",2020-10-18,36,"alias",0,37
38,"pointString","name",37,37,37,37,"source","type",0,0,0,0,0,0,"program",37,"agriculturalZone",2020-10-19,37,"alias",0,38
39,"pointString","name",38,38,38,38,"source","type",0,0,0,0,0,0,"program",38,"agriculturalZone",2020-10-20,38,"alias",0,39
40,"pointString","name",39,39,39,39,"source","type",0,0,0,0,0,0,"program",39,"agriculturalZone",2020-10-21,39,"alias",0,40
41,"pointString","name",40,40,40,40,"source","type",0,0,0,0,0,0,"program",40,"agriculturalZone",2020-10-22,40,"alias",0,41
42,"pointString","name",41,41,41,41,"source","type",0,0,0,0,0,0,"program",41,"agriculturalZone",2020-10-23,41,"alias",0,42
43,"pointString","name",42,42,42,42,"source","type",0,0,0,0,0,0,"program",42,"agriculturalZone",2020-10-24,42,"alias",0,43
44,"pointString","name",43,43,43,43,"source","type",0,0,0,0,0,0,"program",43,"agriculturalZone",2020-10-25,43,"alias",0,44
45,"pointString","name",44,44,44,44,"source","type",0,0,0,0,0,0,"program",44,"agriculturalZone",2020-10-26,44,"alias",0,45
46,"pointString","name",45,45,45,45,"source","type",0,0,0,0,0,0,"program",45,"agriculturalZone",2020-10-27,45,"alias",0,46
47,"pointString","name",46,46,46,46,"source","type",0,0,0,0,0,0,"program",46,"agriculturalZone",2020-10-28,46,"alias",0,47
48,"pointString","name",47,47,47,47,"source","type",0,0,0,0,0,0,"program",47,"agriculturalZone",2020-10-29,47,"alias",0,48
49,"pointString","name",48,48,48,48,"source","type",0,0,0,0,0,0,"program",48,"agriculturalZone",2020-10-30,48,"alias",0,49
50,"pointString","name",49,49,49,49,"source","type",0,0,0,0,0,0,"program",49,"agriculturalZone",2020-10-31,49,"alias",0,50
51,"pointString","name",50,50,50,50,"source","type",0,0,0,0,0,0,"program",50,"agriculturalZone",2020-11-01,50,"alias",0,51
52,"pointString","name",51,51,51,51,"source","type",0,0,0,0,0,0,"program",51,"agriculturalZone",2020-11-02,51,"alias",0,52
53,"pointString","name",52,52,52,52,"source","type",0,0,0,0,0,0,"program",52,"agriculturalZone",2020-11-03,52,"alias",0,53
54,"pointString","name",53,53,53,53,"source","type",0,0,0,0,0,0,"program",53,"agriculturalZone",2020-11-04,53,"alias",0,54
55,"pointString","name",54,54,54,54,"source","type",0,0,0,0,0,0,"program",54,"agriculturalZone",2020-11-05,54,"alias",0,55
56,"pointString","name",55,55,55,55,"source","type",0,0,0,0,0,0,"program",55,"agriculturalZone",2020-11-06,55,"alias",0,56
57,"pointString","name",56,56,56,56,"source","type",0,0,0,0,0,0,"program",56,"agriculturalZone",2020-11-07,56,"alias",0,57
58,"pointString","name",57,57,57,57,"source","type",0,0,0,0,0,0,"program",57,"agriculturalZone",2020-11-08,57,"alias",0,58
59,"pointString","name",58,58,58,58,"source","type",0,0,0,0,0,0,"program",58,"agriculturalZone",2020-11-09,58,"alias",0,59
60,"pointString","name",59,59,59,59,"source","type",0,0,0,0,0,0,"program",59,"agriculturalZone",2020-11-10,59,"alias",0,60
61,"pointString","name",60,60,60,60,"source","type",0,0,0,0,0,0,"program",60,"agriculturalZone",2020-11-11,60,"alias",0,61
62,"pointString","name",61,61,61,61,"source","type",0,0,0,0,0,0,"program",61,"agriculturalZone",2020-11-12,61,"alias",0,62
63,"pointString","name",62,62,62,62,"source","type",0,0,0,0,0,0,"program",62,"agriculturalZone",2020-11-13,62,"alias",0,63
64,"pointString","name",63,63,63,63,"source","type",0,0,0,0,0,0,"program",63,"agriculturalZone",2020-11-14,63,"alias",0,64
65,"pointString","name",64,64,64,64,"source","type",0,0,0,0,0,0,"program",64,"agriculturalZone",2020-11-15,64,"alias",0,65
66,"pointString","name",65,65,65,65,"source","type",0,0,0,0,0,0,"program",65,"agriculturalZone",2020-11-16,65,"alias",0,66
67,"pointString","name",66,66,66,66,"source","type",0,0,0,0,0,0,"program",66,"agriculturalZone",2020-11-17,66,"alias",0,67
68,"pointString","name",67,67,67,67,"source","type",0,0,0,0,0,0,"program",67,"agriculturalZone",2020-11-18,67,"alias",0,68
69,"pointString","name",68,68,68,68,"source","type",0,0,0,0,0,0,"program",68,"agriculturalZone",2020-11-19,68,"alias",0,69
70,"pointString","name",69,69,69,69,"source","type",0,0,0,0,0,0,"program",69,"agriculturalZone",2020-11-20,69,"alias",0,70
71,"pointString","name",70,70,70,70,"source","type",0,0,0,0,0,0,"program",70,"agriculturalZone",2020-11-21,70,"alias",0,71
72,"pointString","name",71,71,71,71,"source","type",0,0,0,0,0,0,"program",71,"agriculturalZone",2020-11-22,71,"alias",0,72
73,"pointString","name",72,72,72,72,"source","type",0,0,0,0,0,0,"program",72,"agriculturalZone",2020-11-23,72,"alias",0,73
74,"pointString","name",73,73,73,73,"source","type",0,0,0,0,0,0,"program",73,"agriculturalZone",2020-11-24,73,"alias",0,74
75,"pointString","name",74,74,74,74,"source","type",0,0,0,0,0,0,"program",74,"agriculturalZone",2020-11-25,74,"alias",0,75
76,"pointString","name",75,75,75,75,"source","type",1,1,1,1,1,0,"program",75,"agriculturalZone",2020-11-26,75,"alias",1,76
